Garut,,,,,,,,,,,,
dmu,Land area (m2),Land lease value (IDR),Labor cost (IDR),Seed purchase value (IDR),Fertilizer purchase value (IDR),Pesticide purchase value (IDR),Equipment rent value (IDR),Production value (IDR),,,,
49,6000,15000000,1800000,1380000,7800000,780000,1390000,41600000,,,,
50,7000,11900000,1800000,1610000,9100000,910000,1380000,52000000,,,,
51,10000,12000000,2600000,2300000,13000000,2500000,1300000,63000000,,,,
52,20000,18000000,4300000,4600000,26000000,4000000,2700000,126000000,,,,
53,20000,70000000,3700000,4600000,26000000,2600000,2190000,169400000,,,,
,,,,,,,,,,,,
Subang,,,,,,,,,,,,
dmu,Land area (m2),Land lease value (IDR),Labor cost (IDR),Seed purchase value (IDR),Fertilizer purchase value (IDR),Pesticide purchase value (IDR),Equipment rent value (IDR),Production value (IDR),,,,
1,10000,30000000,5000000,2300000,13000000,3000000,1890000,47000000,,,,
2,10000,7000000,10000000,2300000,13000000,2000000,1500000,133650000,,,,
3,14500,7250000,2700000,3335000,18850000,4350000,2965000,193050000,,,,
4,5600,2800000,6500000,1288000,7280000,1008000,660000,37720000,,,,
5,1000,6250000,700000,350000,1300000,130000,1300000,13050000,,,,
6,1000,6250000,700000,350000,1300000,130000,3500000,13050000,,,,
7,7000,29400000,7000000,1610000,9100000,910000,4000000,69300000,,,,
8,700,1610000,700000,350000,910000,91000,1200000,9300000,,,,
9,7000,24500000,7000000,1610000,9100000,910000,7500000,94000000,,,,
10,5000,17500000,7000000,1150000,6500000,650000,7500000,66150000,,,,
11,1000,3500000,300000,150000,1300000,130000,7500000,13050000,,,,
12,5000,17500000,7000000,1150000,5000000,650000,7500009,66150000,,,,
13,1700,2975000,3000000,391000,2550000,221000,7470000,23400000,,,,
14,1000,5000000,700000,150000,1500000,130000,7500009,13050000,,,,
15,1000,5000000,1200000,150000,2000000,130000,2500000,13050000,,,,
16,1400,980000,500000,322000,1820000,182000,330000,17550000,,,,
17,2520,2016000,500000,579600,3276000,327600,272000,33300000,,,,
18,1400,1260000,500000,322000,1820000,182000,295000,17550000,,,,
19,1500,15000000,1500000,150000,1950000,195000,2450000,19800000,,,,
20,750,3000000,1000000,150000,1500000,97500,2225000,9900000,,,,
21,750,3000000,1000000,150000,1500000,97500,2225000,9900000,,,,
